Titres opération et projet lauréat,Thématique
Rénover les toilettes : propreté et confort Rénovation les toilettes de l'Ecole maternelle ricaut,Education et jeunesse
Des sanitaires réhabilités pour les élèves du 11e groupe scolaire rue saint-bernard,Education et jeunesse
Embellir les sanitaires dans les écoles Toilettes Groupe scolaire Louis Blanc,Education et jeunesse
"Des jardins sur les murs Des jardins sur les murs / 72, rue Damrémont",Environnement
#TousRécup Réaménagement de l'atelier de tri Textile CDLV,Solidarités
Pour une gestion de l'eau améliorée Déconnexion des eaux pluviales - Plan Pluie à Paris,Environnement
Pour une gestion de l'eau améliorée Pour une gestion de l'eau améliorée ! / 054 - Amélioration de la gestion de l'eau dans les jardins / Jardin du Trocadéro,Environnement
Du vert à tous les étages Du vert à tous les étages / 15ème - toit école Lacordaire,Environnement
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14ème -EM H.Maindron,Education et jeunesse
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14ème -EM Ocagne,Education et jeunesse
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14ème-EM Sarrette,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La boite à jouer,Education et jeunesse
+ de commerces dans les quartiers populaires POISSONERIE CHATEAU ROUGE,Attractivité et emploi
+ de commerces dans les quartiers populaires LE GRAND JEU,Attractivité et emploi
#VillePlusPropre Cendriers sondage,Propreté
+ de nature en ville Cultiver dans la halte garderie Pierre Nicole,Environnement
+ de nature en ville Cultiver dans la crèche Delessert,Environnement
+ de nature en ville Cultiver dans la crèche Folie Regnault,Environnement
+ de nature en ville Cultiver dans la crèche Jean Dolent,Environnement
+ de nature en ville + de nature en ville / Supports végétalisés pour chaque mairie d‘arrdt,Environnement
#AlimentationPourTous Démocratie locale et Participative du 15ème,Solidarités
#AlimentationPourTous Emmaüs Solidarité CHU Jourdan,Solidarités
+ de nature en ville + de nature en ville / Acquisition de cabanes à chat et matériels (Chats d’Oc),Environnement
+ de nature en ville + de nature en ville / Matériel pour le dispensaire vétérinaire (Vet Dispensair ),Environnement
Créer 6 composteurs collectifs dans le 11e arrondissement Composteur collectif square Colbert,Environnement
Cultiver en ville Ferme Urbaine la REcyclerie,Environnement
#SousLesPavésDesFleurs #SousLesPavésDesFleurs / Mares et espaces de biodiversité dans les QP / Inventaire naturalistes BIOTOPE (en QP),Environnement
"+ de nature en ville + de nature en ville / 04-Mares et espaces de biodiversité/ Bois de Vincennes, jeu de boules Saint Mandé",Environnement
#SousLesPavésDesFleurs #SousLesPavésDesFleurs / Mares et espaces de biodiversité dans les QP / Square Maurice Gardette,Environnement
Préserver et restaurer le patrimoine du Square Le Gall F- SUIV 001423 - RESTAURATION DES ROCAILLES DU SQUARE LEGALL / enveloppe complémentaire phase 1 + phase 2,Environnement
Embellir le Pavillon Carré de Baudouin Embellissement du Pavillon Carré de Baudouin,Culture et patrimoine
Un nouveau conteneur à verre enterré dans le 11e Installer un conteneur à verre enterré,Propreté
Une galerie d'exposition aux Ateliers Beaux-Arts galerie des Ateliers Beaux Arts,Culture et patrimoine
Des places supplémentaires pour les deux-roues dans le 11e Des places supplémentaires pour les deux-roues dans le 11e,Mobilités
Végétalisons les écoles du quartier Montsouris-Dareau ! Mur et toits végétalisés école Alésia,Environnement
Balade culturelle dans le 14e Rénovation des statues des squares place Denfert,Culture et patrimoine
Art dans la ville Art dans la ville - fresques dans les écoles,Culture et patrimoine
Art dans la ville Art dans la ville - fresques dans les écoles,Culture et patrimoine
#AlimentationPourTous Collectif 4C Quartier libre - Café Culture Cuisine (18e Goutte d'Or),Solidarités
+ de nature en ville + de nature en ville / 04-Mares et espaces de biodiversité / 01 Signalétique,Environnement
Des quartiers populaires à énergie positive Action 1 : installation de panneaux solaires - école Picpus (12e),Environnement
Pour une gestion de l'eau améliorée Pour une gestion de l'eau améliorée ! / 051 - Amélioration de la gestion de l'eau dans les jardins / divers jardins,Environnement
Favoriser l'autonomie des personnes en situation de handicap Jeux d'extérieurs adaptés aux enfants en situation de handicap dans les jardins,Solidarités
#TousRécup Essaimage des repair café à Paris (3/10),Solidarités
#AlimentationPourTous Restaurant solidaire de la Villette - SAS Croixement pour Tous,Solidarités
Des cantines plus agréables pour nos enfants dans 11 écoles Des cantines plus agréables EE  Levassor,Education et jeunesse
Le plaisir de lire dans les écoles et les lieux de vie du quartier ! Le plaisir de lire dans l' EM Rouvier,Education et jeunesse
Embellir et rénover les écoles du 17ème Collège Georges Rouault,Education et jeunesse
Du mobilier urbain végétalisé devant les écoles et les crèches végétalisation de 2 pieds d'arbres,Environnement
Des cantines agréables Ecole primaire Balanchine,Education et jeunesse
"Insonorisation et embellissement des réfectoires des écoles du 3ème Insonorisation, embellissement réfectoires écoles EE Béranger",Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires,Education et jeunesse
Des sanitaires neufs pour toutes nos écoles Des toilettes neuves pour toutes les écoles !EE Brunet/Compans,Education et jeunesse
#MusiquePourTous Acquisition d’un parc d’instruments pour les Petits Riens,Culture et patrimoine
Espaces ludiques dans les écoles du 16e Espaces Ludiques dans les écoles du 16e,Education et jeunesse
Espaces ludiques dans les écoles du 16e Espaces Ludiques dans les écoles du 16e,Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Embellir les écoles Equipement de jeux de cour dans les cours d'école,Education et jeunesse
"#RefabriquonsÀParis Siège de la Fédération Envie - Envie, le Labo",Attractivité et emploi
+ de commerces dans les quartiers populaires LE COURT CIRCUIT,Attractivité et emploi
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
#SousLesPavésDesFleurs D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs  / Debitumage 29 rue Deparcieux,Environnement
Installation de tables de tri sélectif des déchets dans les réfectoires des cantines scolaires Installation de tables de tri sélectif des déchets dans les réfectoires des cantines scolaires,Environnement
Renforcer les actions et multiplier les lieux de solidarité Vélos à destination de femmes en situation de précarité,Solidarités
Mieux grandir dans le 19e Rénovation de la cour du CPA Rébeval,Education et jeunesse
Lutter contre toutes les pollutions Étude sur les particules ultrafines,Environnement
Améliorer la qualité de vie dans les écoles du 5e EE Arbalète - Tableaux numériques,Education et jeunesse
"Un 8e plus sportif Collège Octave Gréard - Le biathlon, laser run",Sport
Des rues apaisées Mobilier - rue volga grands champs,Cadre de vie
Nos espaces verts évoluent ! 07 - Implantation d’assises et de poubelles (Rue Annie Girardot et Avenue d’Italie),Environnement
Des cours d’écoles et espaces de jeux plus inclusifs et interactifs Des cours pour vivre ensemble - EE (B) et (A)  Lamoricière,Education et jeunesse
Embellir et rénover les écoles du 17ème EE Pereire - Restauration du auvent,Education et jeunesse
Végétalisation et aménagement de l'espace public Des murs végétalisés pour la résidence  Caulaincourt,Environnement
Mieux grandir dans le 19e Les enfants au cœur de l'espace public,Education et jeunesse
Des équipements mobiles de solidarité avec les plus fragiles Machines à laver et sèches linges,Solidarités
Bien grandir dans le 11e Des outils numériques dans les écoles primaires du 11 / EE Keller,Education et jeunesse
Développer la pratique sportive dans le 19e Création d'aires sportives PMR et Séniors,Sport
Rapprocher la culture des habitant·e·s Renouvellement de la fresque murale rue Maurice Ripoche,Culture et patrimoine
Rapprocher la culture des habitant·e·s Aménager l'espace culturel de La Sirène de Paris,Culture et patrimoine
20eme solidaire et intergénérationnel Construction d'un local partagé intergénérationnel au square Frida Khalo/Quartier Fougères-le-Vau,Solidarités
Renforcer les actions et multiplier les lieux de solidarité Réaménagement de la Pointe de l'Eglise Saint-Eustache pour distribution alimentaire,Solidarités
Renforcer les actions et multiplier les lieux de solidarité Aménagement local dédié aux artisans réparateurs,Solidarités
Construire des cours Oasis pour nos écoles Des cours oasis- EE Charenton,Education et jeunesse
Aménager les canaux et développer la baignade Mise en lumière écluse de flandre,Cadre de vie
Climat : de l'ombre pour nos écoliers EM Parmentier,Education et jeunesse
Climat : de l'ombre pour nos écoliers EM Recollets,Education et jeunesse
Restaurer le Champ de Mars et son mobilier historique Restaurer les statues et le mobilier,Culture et patrimoine
Un éco-lieu pour le 10e Un éco-lieu pour le 10e : espace de Fab Lab et de consommation responsable,Attractivité et emploi
Végétaliser et améliorer les lieux publics dans les quartiers Optimisation du jardin pédagogique partagé,Cadre de vie
Améliorer le quotidien des élèves du 12e Rénovation des classes de l'EM des Meuniers,Education et jeunesse
Maison des Associations et club-house : se retrouver et recevoir ! Un nouvel espace associatif innovant au cœur du 13ème,Solidarités
Embellir et rénover les écoles du 5e Les enfants embellissent leur école maternelle Mouffetard !,Education et jeunesse
"Embellir et rénover les écoles du 5e Une récréation écologique, sportive et source d’inspiration EE Buffon",Education et jeunesse
Des vidéoprojecteurs interactifs pour les écoles du 6e Des vidéoprojecteurs interactifs pour l'EE rue Madame,Education et jeunesse
Aménager et équiper les écoles du 11e Nouveau mobilier à la cantine EM R.Lenoir,Education et jeunesse
Un espace public pacifié et adapté à tous Sécurisation du carrefour rue Saint Amand,Cadre de vie
Un espace public pacifié et adapté à tous Création d'un parcours sécurisé podotactile pour déficients visuels,Cadre de vie
Créons une oasis associative et citoyenne à Porte de Vanves ! Rénovation du club house du CA PARIS 14,Solidarités
Améliorer le quotidien des élèves du 12e Un auvent pour la cour de l'EE de la Brèche aux Loups,Education et jeunesse
Ouvrons les écoles aux enfants extraordinaires ! Accessibilité dans le 14e-EM 23 Boulard,Education et jeunesse
Rénovons les écoles du 17ème ! Rénover l'EM  Saussure,Education et jeunesse
Faisons du 12e un arrondissement toujours plus culturel ! Parcours physique / Parc de Bercy,Culture et patrimoine
Faisons du 12e un arrondissement toujours plus culturel ! rendre agréable la toiture de la terrasse de la médiathèque Hélène Berr,Culture et patrimoine
"Fontaines et piscine, plus de fraîcheur dans le 5e 03 - Capteurs environnementaux",Cadre de vie
Des locaux équipés pour un quartier plus solidaire Réaménagement et équipements numériques local ASI,Solidarités
Adoucir et rafraîchir les espaces verts du 14e De nouveaux stationnements deux roues Boulevard Raspail,Environnement
Adoucir et rafraîchir les espaces verts du 14e Protéger les piétons aux sorties du parc Montsouris,Environnement
