Titre de l'opération,Thématique
Des jardins sur les murs / 75008 - mur végétalisé 7 ALLEE LOUIS DE FUNES,Environnement
Cultiver en ville / Jardin partagé -17eme - Square Paul Paray (serre),Environnement
FRESQUE EN HOMMAGE AU CIRQUE,Culture et patrimoine
Garer sa trottinette au conservatoire du 16e,Culture et patrimoine
"""Marée des Lettres"" en recherche de lieu d'accueil",Culture et patrimoine
Un terrain de basket au square Paturle,Sport
TEP Michelet-Curial,Sport
Métamorphose au cœur du quartier Plaisance,Cadre de vie
Piétonnisation et mise en valeur de la rue du Gros Caillou,Cadre de vie
"Infrastructures et matériels pour l’accueil des SDF, ...",Solidarités
Végétalisation du pont de la rue Doudeauville,Cadre de vie
Remise en état des toilettes et vestiaires stade Ladoumègue,Sport
Rénover les sanitaires du Jardin Catherine Labourée,Cadre de vie
un kiosque d'animation et de partage citoyen ( Esplanade Roger Linet),Solidarités
Passage piéton Malesherbes / rue de Lisbonne à sécuriser,Prévention et sécurité
#SousLesPavésDesFleurs / Sauver les abeilles en construisant des nichoirs à abeilles,Environnement
"Un 12e encore plus végétalisé ! / Equiper les crèches Politzer, Pommard, Bercy, Edouard Robert et Daumesnil afin de créer des jardins pédagogiques et gourmands",Cadre de vie
"Daumesnil, supprimer le stationnement sur les trottoirs et en installer des jardinières pleine-terre côté impair",Cadre de vie
Réaménager les espaces sportifs des jardins du 20e / square St Simoniens,Sport
+ de nature en ville / 04-Mares et espaces de biodiversité/ Mare square Serment de Koufra,Environnement
"En piste, avenue Georges Lafenestre",Mobilités
Espaces de travail publics - INNOVATION FACTORY,Education et jeunesse
Lauréat Coup de Pouce Commerce: LE PAIN DE LA LIBERTÉ,Attractivité et emploi
Réfection des abords du kiosque des Champs Elysées,Cadre de vie
Hôtel insectes Square Santiago du Chili,Environnement
Outils numériques école élémentaire BUFFAULT,Education et jeunesse
Améliorer l'accueil école maternelle RICAUT,Education et jeunesse
Sanitaires école polyvalente FRANC NOHAIN,Education et jeunesse
VPI école élémentaire LACORDAIRE,Education et jeunesse
Sanitaires école élémentaire 9 TANDOU,Education et jeunesse
Disco Soupe,Solidarités
Association Le Marché sur l'eau,Solidarités
Sécuriser les chemins des écoles du 12e,Prévention et sécurité
Coworking le Mab'Lab,Attractivité et emploi
Piscine Bernard Lafay,Santé
Fitness Sq. Paganini,Sport
Des composteurs pour les jardins partagés dans tout Paris,Propreté
Colonnes à verre enterrée - 32 rue Claude Decaen (12e),Propreté
22La place Navier,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Arceau,Cadre de vie
Fontaine Pétillante Jardin des Halles,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Pétillante,Cadre de vie
Espaces de travail publics - Work'Up,Education et jeunesse
Rue aux enfants - Rue Rochambeau 9e,Cadre de vie
Rue aux enfants - Rue Charles Baudelaire (12e),Cadre de vie
Rue aux enfants - Résidence Michelet  rues Colette Magny et Bernard Têtu) 19e,Cadre de vie
Rue aux enfants - Rue Eugénie Cotton (19e),Cadre de vie
Rue aux enfants - Rue du Père Julien Dhuit (20e),Cadre de vie
ARBP,Solidarités
Composteur du Conseil de quartier St-Gervais et de l'Association des Jardiniers du 4e,Propreté
Composteur Conseil de quartier Pernety,Propreté
Ne rougissez pas,Solidarités
A l'adresse du jeu,Solidarités
Des camions pour France Terre d'Asile,Solidarités
Ressourcerie Mobile de la Bricolette,Solidarités
Subvention association JP les jardins du Ruisseau,Cadre de vie
"Hifi Store, Atelier de réparation.",Solidarités
Des tableaux interactifs pour des écoles de l'arrondissement,Education et jeunesse
L’art de cuisiner à la Villa Belleville,Solidarités
"« Sous les pavés, la terre » : pour une végétalisation du Canal Saint-Martin.",Environnement
Installation d'agrès sportifs dans le parc Sainte Périne,Sport
Une bagagerie pour les sans-abris,Solidarités
0101/Amélioration de la cour du Collège Charlemagne,Education et jeunesse
La Petite Ceinture dans les quartiers populaires / PC17 tranchée Pereire aménagements de loisir,Cadre de vie
Poursuite du réaménagement du quartier Bargue/Falguière,Cadre de vie
Place Richard Baret,Environnement
Pavillon de l'Arsenal,Environnement
Pour une gestion de l'eau améliorée ! / Collecter l'eau de pluie pour les jardins partagés,Environnement
Parking à trottinette bibliothèque Benjamin Rabier,Culture et patrimoine
Création d'un street workout au parc Suzanne Lenglen,Sport
Pour une gestion de l'eau améliorée ! / Amélioration de la gestion de l'eau dans les jardins / Parc Montsouris,Environnement
Composteur de quartier rue de la Cité industrielle,Environnement
Cultiver dans les écoles / Ecole 14/18,Education et jeunesse
Cultiver dans les écoles / Ecole 2/17,Education et jeunesse
Cultiver dans les écoles / Ecole 4/11,Education et jeunesse
Cultiver dans les écoles / Ecole 3/20,Education et jeunesse
Cultiver dans les écoles / Ecole 14/20,Education et jeunesse
Cultiver dans les écoles / Ecole 6/30,Education et jeunesse
Cultiver dans les écoles / Ecole 16/30,Education et jeunesse
Cultiver dans les écoles / Ecole 29/30,Education et jeunesse
Cultiver dans les écoles / Ecole 5/21,Education et jeunesse
Cultiver dans les écoles / Ecole 18/21,Education et jeunesse
Cultiver dans les écoles / Ecole 8/18,Education et jeunesse
Du matériel de nettoiement silencieux et non polluant Aspirateur Glutton 020 3,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 8,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 10,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 18,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 20,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 24,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 77,Propreté
Du matériel de nettoiement silencieux et non polluant Micro Aspiratrice de trottoir 024 3,Propreté
EMILE DUPLOYE (27) MAT,Education et jeunesse
LAMARCK (4) MAT,Education et jeunesse
MARX DORMOY (53B) MAT,Education et jeunesse
ST LUC (3) MAT,Education et jeunesse
Conservatoire municipal du 19e arrondissement,Culture et patrimoine
Pose d'un luminaire sur la façade de l’école rue Lemercier,Education et jeunesse
Fresque Collège Giacometti,Education et jeunesse
Rénovation les toilettes de l'école élémentaire levassor,Education et jeunesse
élémentaire et maternelle 20-28 rue de la brèche aux loups,Education et jeunesse
Toilettes école élémentaire 200 rue saint-maur,Education et jeunesse
Aménagement du théâtre de marionnettes du Ranelagh,Culture et patrimoine
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Equiper les écoles du 14ème -EM Boulard,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La boite à jouer,Education et jeunesse
Des tables de tri des déchets dans les cantines scolaires,Education et jeunesse
Projet OASIS GS Alain Fournier,Environnement
CENTRE CANIN,Attractivité et emploi
MONY COIFFURE,Attractivité et emploi
Cultiver dans la crèche Jean Calvin,Environnement
Cultiver dans la crèche Contrescarpe,Environnement
Cultiver dans la crèche Reculettes,Environnement
Cultiver dans le jardin d'enfant Maussins,Environnement
13 pour tous,Solidarités
Camion Prev truck,Santé
,Cadre de vie
La Marmite Anti-Gaspille,Solidarités
Les Hôtels Solidaires,Solidarités
Altrimenti,Solidarités
"Boutique ""Up social shop"" Oxfam",Solidarités
Equipements Ressourcerie Créative (dont camion électrique),Solidarités
"+ de nature en ville / 04-Mares et espaces de biodiversité/ Talus Stendhal, jardin des oiseaux",Environnement
Création d'un Parcours Détente/Santé le long du Cours Albert,Cadre de vie
Courses en solidaire : une épicerie solidaire rue de Crimée,Solidarités
Un parking à trottinettes devant chaque collège du 11e,Education et jeunesse
KIOSQUE spontané des habitant-e-s quartier Fougères-Le Vau/Square Léon Frapié,Solidarités
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Rénovation du Gymnase Poliveau,Sport
Plus d’équipements pédagogiques pour les crèches du 11ème,Education et jeunesse
Tri et assises au parc Montsouris / 01 - Installation de poubelles à tri sélectif,Environnement
Le terrain de foot du stade de la Porte d'Asnières rénové,Sport
F- SUIV 002261 - Végétaliser l'espace public / 02 - Un arbre pour angle passage des écoliers et rue Violet,Environnement
"Améliorons l’environnement des usages du bois de Vincennes / 06 - Améliorer les espaces ludiques du Bois, notamment le square de la Croix Rouge, les sept centres de loisirs et le Parc Floral",Environnement
Soutenir l'ambition zéro déchets et la propreté / 03 - toilettes innovantes dans les parcs et jardins et l'espace public,Propreté
Améliorons l’environnement des usages du bois de Vincennes / 07 - Rénover les toilettes existantes et en ajouter,Environnement
Art dans la ville - fresques dans les écoles,Culture et patrimoine
Action 1 : installation de panneaux solaires - centre d'animation Louis Lumière (20e),Environnement
Création d'un mini golf,Sport
Embellissons les écoles de nos quartiers-centre de loisirs Manin,Education et jeunesse
Urilift - urinoir rétractable nocturne (18e),Propreté
Tableaux interactifs pour l'école élémentaire,Education et jeunesse
Equipement de jeux de cour dans les cours d'école,Education et jeunesse
FABIOPTIC,Attractivité et emploi
SI de traçabilité de la Réserve des Arts,Solidarités
Créer des espaces de cartographie immersive,Mobilités
LA PORTE DES REVES,Attractivité et emploi
Du gazon sur les trottoirs / Débitumage rue Constant Berthaut,Environnement
Améliorer l'éclairage,Cadre de vie
collège F. Villon,Education et jeunesse
Communes Mesures dans le 18e,Environnement
Scène mobile,Cadre de vie
Square de la Réunion,Environnement
Des espaces de fitness dans le quartier Evangile,Sport
EE Victoire,Education et jeunesse
Un auditorium des cultures du monde au coeur de Paris à la Cité internationale des Arts,Culture et patrimoine
Coffre-fort à papiers pour SDF,Culture et patrimoine
Fresques APAPUC,Culture et patrimoine
Ecole maternelle Bullourde,Education et jeunesse
Aimé Césaire à l'honneur dans sa bibliotheque,Culture et patrimoine
Accessibilité dans le 14e GS EE Prisse d'Avennes/ EM Sarette,Education et jeunesse
Des vidéoprojecteurs interactifs pour l'EE Jardinet,Education et jeunesse
Ajout de ralentisseurs rue Joseph de Maistre,Prévention et sécurité
Acquisition d'équipements pour la friche solidaire,Solidarités
Rénovation du Gymnase Curial,Sport
Pose d'un ralentisseur rue Alexandre Dumas,Cadre de vie
4 Récupérateurs d’eau de pluie pour jardinières rue Paradol,Solidarités
Des équipements numériques pour Les Mûriers,Solidarités
Aménagement des jardins pédagogiques dans les établissements d’accueil,Environnement
Contenants isothermes et véhicules zéro carbone Linkee,Solidarités
Bagagerie solidaire,Solidarités
Créer un espace d'accueil à l'arboretum de Paris,Environnement
"Coup de Pousses, ressourcerie des jardiniers urbains",Solidarités
Restauration des fontaines de la place André Malraux dans le quartier du Palais-Royal,Culture et patrimoine
Accessibilité PMR du centre Paris Anim' Interclub,Education et jeunesse
"ART et FOOD: un accès à des repas, à la culture et au droit au sein de lieux emblématiques parisiens",Solidarités
Installation d’arceaux vélos dans le 10ème,Mobilités
01-Récupérateurs d'eaux pluviales dans les cours des bâtiments municipaux,Environnement
Soutenons les projets portés par les associations de nos quartiers,Solidarités
Des écoles OASIS/ EP Davout,Environnement
01-Création d'un circuit de sensibilisation à la réduction des déchets au sein de la Maison du Zéro Déchet,Environnement
03-Sécurisation du passage piétons rue de Courcelles,Cadre de vie
07 - Démonstrateur ROOFSCAPES,Environnement
01-Ajout d'un passage piéton rue Paul Bert,Cadre de vie
05-Installer une aire de stationnement vélo devant le parc Titon,Cadre de vie
Un ascenseur à l'école maternelle  Roquette,Solidarités
04-Pour des espaces verts rénovés - Agrès Cristino Garcia,Cadre de vie
Développer le réemploi de la basket en chantier d'insertion - Les Pinces à Linge,Solidarités
Implantation au TLM - La Textilerie,Attractivité et emploi
Crèche municipale Guignier,Education et jeunesse
Bureau Mobil,Solidarités
Cuisine dans la rue,Solidarités
Davantage de jeux et de jouets pour la Ludomouv avenue Lamoricière,Cadre de vie
Du matériel pour le Handisport,Sport
Gym douce dans les espaces verts,Sport
une école inclusive -Aménagements d'espaces EE 10 Lamoricière,Education et jeunesse
Végétalisation pieds d'arbres avenue du général Leclerc,Environnement
Intervention artistique,Cadre de vie
Extramuros - phase d'étude,Attractivité et emploi
De l'ombre pour les élèves de St Merri / Renard !,Education et jeunesse
nouvel espace jeunesse à Louise Walser Gaillard,Education et jeunesse
01 - Abri pour auto réparer son vélo,Mobilités
MOBILIER SUR LES RAILLS DE LA PETITE CEINTURE,Cadre de vie
Rénovation des terrains de basket,Sport
La Table ouverte,Solidarités
CPA Place des fêtes,Education et jeunesse
06 - Rénovation passerelle du jardin des Grands Moulins,Environnement
"10 - Restauration de la sculpture ""Danse de la Fontaine émergente""",Environnement
Instrument de musique EE 42 Pouchet et Collège Mallarmé,Education et jeunesse
Restauration du buste d’Henry Becque,Culture et patrimoine
02 - Créer un « espace de liberté canine » dans le quartier Javel/Beaugrenelle,Cadre de vie
Embellissement de potelets,Culture et patrimoine
